6.31%,票据贴现,4.63%,,,,
3.31%,境外和子公司,3.37%,,,,
0.19%,应计利息,0.21%,,,,
,,,,,报告期末本集团发放贷款和垫款总额（单位：百万元）,
,下表列出于所示日期本集团发放贷款和垫款总额及构成情况。,,,,,
,2024年12月31日,,2023年12月31日,,2022年12月31日,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%),金额,占比(%)
本行境内贷款和垫款,"24,938,748",96.50,"23,006,496",96.42,"20,305,569",95.80
公司类贷款和垫款,"14,434,401",55.86,"13,225,655",55.43,"11,020,150",51.99
短期贷款,"4,014,375",15.54,"3,594,305",15.06,"2,927,713",13.81
中长期贷款,"10,420,026",40.32,"9,631,350",40.37,"8,092,437",38.18
个人贷款和垫款,"8,872,595",34.33,"8,676,054",36.36,"8,236,768",38.86
个人住房贷款,"6,187,858",23.94,"6,386,525",26.76,"6,479,609",30.57
信用卡贷款,"1,065,883",4.13,"997,133",4.18,"924,873",4.37
个人经营贷款1,"1,021,693",3.95,"777,481",3.26,"415,344",1.96
个人消费贷款,"527,895",2.04,"421,623",1.77,"295,443",1.39
其他贷款2,"69,266",0.27,"93,292",0.39,"121,499",0.57
票据贴现,"1,631,752",6.31,"1,104,787",4.63,"1,048,651",4.95
境外和子公司,"854,969",3.31,"804,486",3.37,"842,566",3.97
应计利息,"49,577",0.19,"50,618",0.21,"48,995",0.23
发放贷款和垫款总额,"25,843,294",100.00,"23,861,600",100.00,"21,197,130",100.00
