资产负债表分析,,,,,,
资产,,,,,,
,,,,,,
,,,,,,
2024,,,,,,
"40,571,149",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,报告期末本集团资产总额（单位：百万元）,
下表列出于所示日期本集团资产总额的构成情况。,,,,,,
,,,,,,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%),金额,占比(%)
发放贷款和垫款总额,,63.70,,62.26,,61.26
以摊余成本计量的贷款损失准备,"(802,894)",(1.98),"(778,223)",(2.03),"(704,088)",(2.03)
发放贷款和垫款净额,,61.72,,60.23,,59.23
金融投资,,26.33,"9,638,276",25.15,"8,542,312",24.69
现金及存放中央银行款项,"2,571,361",6.34,"3,066,058",8.00,"3,159,296",9.13
存放同业款项及拆出资金,"827,407",2.04,"823,488",2.15,"695,209",2.01
买入返售金融资产,"622,559",1.53,"979,498",2.55,"1,040,847",3.01
其他1,"825,459",2.04,"734,129",1.92,"670,005",1.93
资产总额,,100.00,,100.00,,100.00
1.,,包括贵金属、衍生金融资产、长期股权投资、固定资产、在建工程、土地使用权、无形资产、商誉、递延所得税资产及其他资产。,,,,
